"region","age","gender","population"
"SSC20503",39,"F",0
"SSC20503",40,"M",0
"SSC20503",40,"F",0
"SSC20503",41,"M",0
"SSC20503",41,"F",0
"SSC20503",42,"M",0
"SSC20503",42,"F",0
"SSC20503",43,"M",0
"SSC20503",43,"F",0
"SSC20503",44,"M",0
"SSC20503",44,"F",0
"SSC20503",45,"M",0
"SSC20503",45,"F",0
"SSC20503",46,"M",0
"SSC20503",46,"F",0
"SSC20503",47,"M",0
"SSC20503",47,"F",0
"SSC20503",48,"M",0
"SSC20503",48,"F",0
"SSC20503",49,"M",0
"SSC20503",49,"F",0
"SSC20503",50,"M",0
"SSC20503",50,"F",0
"SSC20503",51,"M",0
"SSC20503",51,"F",0
"SSC20503",52,"M",0
"SSC20503",52,"F",0
"SSC20503",53,"M",0
"SSC20503",53,"F",0
"SSC20503",54,"M",0
"SSC20503",54,"F",0
"SSC20503",55,"M",0
"SSC20503",55,"F",0
"SSC20477",0,"M",3
"SSC20477",0,"F",0
"SSC20477",1,"M",0
"SSC20477",1,"F",3
"SSC20477",2,"M",3
"SSC20477",2,"F",0
"SSC20477",3,"M",0
"SSC20477",3,"F",0
"SSC20477",4,"M",0
"SSC20477",4,"F",4
"SSC20477",5,"M",0
"SSC20477",5,"F",5
"SSC20477",6,"M",4
"SSC20477",6,"F",0
"SSC20477",7,"M",0
"SSC20477",7,"F",4
"SSC20477",8,"M",7
"SSC20477",8,"F",0
"SSC20477",9,"M",4
"SSC20477",9,"F",0
"SSC20477",10,"M",4
"SSC20477",10,"F",3
"SSC20477",11,"M",0
"SSC20477",11,"F",0
"SSC20477",12,"M",0
"SSC20477",12,"F",0
"SSC20477",13,"M",0
"SSC20477",13,"F",0
"SSC20477",14,"M",0
"SSC20477",14,"F",3
"SSC20477",15,"M",0
"SSC20477",15,"F",0
"SSC20477",16,"M",0
"SSC20477",16,"F",3
"SSC20477",17,"M",3
"SSC20477",17,"F",3
"SSC20477",18,"M",0
"SSC20477",18,"F",0
"SSC20477",19,"M",3
"SSC20477",19,"F",0
"SSC20477",20,"M",0
"SSC20477",20,"F",0
"SSC20477",21,"M",0
"SSC20477",21,"F",0
"SSC20477",22,"M",0
"SSC20477",22,"F",0
"SSC20477",23,"M",0
"SSC20477",23,"F",0
"SSC20477",24,"M",3
"SSC20477",24,"F",4
"SSC20477",25,"M",0
"SSC20477",25,"F",0
"SSC20477",26,"M",0
"SSC20477",26,"F",0
"SSC20477",27,"M",0
"SSC20477",27,"F",0
"SSC20477",28,"M",0
"SSC20477",28,"F",0
"SSC20477",29,"M",0
"SSC20477",29,"F",0
"SSC20477",30,"M",0
"SSC20477",30,"F",0
"SSC20477",31,"M",0
"SSC20477",31,"F",3
"SSC20477",32,"M",0
"SSC20477",32,"F",0
"SSC20477",33,"M",3
"SSC20477",33,"F",3
"SSC20477",34,"M",0
"SSC20477",34,"F",0
"SSC20477",35,"M",0
"SSC20477",35,"F",3
"SSC20477",36,"M",0
"SSC20477",36,"F",0
"SSC20477",37,"M",0
"SSC20477",37,"F",3
"SSC20477",38,"M",3
"SSC20477",38,"F",3
"SSC20477",39,"M",3
"SSC20477",39,"F",0
"SSC20477",40,"M",0
"SSC20477",40,"F",0
"SSC20477",41,"M",0
"SSC20477",41,"F",0
"SSC20477",42,"M",0
"SSC20477",42,"F",0
"SSC20477",43,"M",3
"SSC20477",43,"F",0
"SSC20477",44,"M",0
"SSC20477",44,"F",3
"SSC20477",45,"M",0
"SSC20477",45,"F",0
"SSC20477",46,"M",0
"SSC20477",46,"F",0
"SSC20477",47,"M",4
"SSC20477",47,"F",0
"SSC20477",48,"M",0
"SSC20477",48,"F",0
"SSC20477",49,"M",0
