"","Food","Calories","Protein","Fat","Glucose","Fibre"
"179","Bulgur, soaked in water, no added fat or salt",664,5.4,0.9,0,7.3
"180","Cornmeal (polenta), uncooked",1324,8.1,2,0,2.9
"181","Cornmeal (polenta), boiled, no added fat or salt",421,2.6,0.6,0,0.9
"182","Couscous, uncooked",1523,13.8,0.2,0,4.2
"183","Couscous, boiled, no added fat or salt",677,6.1,0.1,0,1.9
"184","Oats, hulled, uncooked",1575,11.7,9.8,0,8.6
"185","Oats, rolled, uncooked",1489,12.4,9.5,0,9.5
"186","Porridge, rolled oats, prepared with water",276,2.3,1.8,0,1.8
"187","Oats, rolled, mixed with sugar or honey & other flavours, uncooked",1629,8.3,7.5,0.2,7.5
"188","Psyllium, uncooked",826,3,1.3,0,88.7
"189","Semolina, uncooked",1299,10.7,1.2,0,3.2
"190","Semolina, boiled, no added fat or salt",413,3.4,0.4,0,1
"191","Tapioca, pearl or seed style, uncooked",1359,0.2,0.2,0,0
"192","Tapioca, pearl or seed style, boiled, no added fat or salt",197,0,0,0,0
"193","Wheat bran, unprocessed, uncooked",1119,14.8,4.1,0,41.8
"194","Wheat germ",1285,20.6,6.1,0,20.1
"195","Rice, white, boiled or rice cooker, no added salt",679,3.1,0.2,0,0.8
"196","Rice, white, purchased as 'instant', microwaved",643,3.4,0.6,0,1
"197","Rice, white, fried with bacon or ham, egg, prawns & vegetables",920,5.7,8.5,0,1
"198","Rice, brown, boiled, no added salt",693,4.1,1.1,0,1.7
"199","Flour, arrowroot",1378,0.4,0.2,0,3.4
"200","Flour, cornflour, from maize starch",1458,0.4,0.6,0,0
"201","Flour, cornflour, from maize & wheat starch",1466,0.6,0.4,0,0.5
"202","Flour, chickpea (besan)",1373,19.7,5.5,0,20.8
"203","Flour, rye",1348,11.4,2.3,0,17.3
"204","Flour, wheat, white, plain",1479,10,1.3,0,2.2
"205","Flour, wheat, white, plain, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)",1417,11.1,1.5,0,3.8
"206","Flour, wheat, white, self-raising",1479,10,1.3,0,2.2
"207","Flour, wheat, white, high protein or bread making flour",1464,11.7,1.7,0,2.5
"208","Flour, wheat, wholemeal, plain",1369,12.1,2.1,0,11.2
"209","Flour, gluten free, plain",1480,3.4,1.1,0,1.7
"210","Flour, wheat, wholemeal, self-raising",1458,10.6,2.1,0,11.3
"211","Hamburger, white roll, beef patty, with cheese, onion, pickles & sauce, fast food chain",1096,15.1,12.1,0.8,1.7
"212","Hamburger, white roll, beef patty, with salad, independent takeaway outlet",870,12.1,9.1,0.5,2.6
"213","Hot dog, bread roll, frankfurt & sauce filling",966,10.6,8.7,0.5,2.3
"214","Pizza, cheese & tomato, commercial",1194,16.2,11,0.8,2.8
"215","Pizza, ham & pineapple, purchased frozen, baked",961,11.5,6,1.7,3.1
"216","Pizza, ham & pineapple, takeaway style",939,12.8,8.3,1,3.1
"217","Pizza, supreme, purchased frozen, baked",1142,14,11.6,0.3,3.2
"218","Pizza, supreme, fast food chain",1044,12.9,9,0.7,2.5
